haskell-base-orphans 0.8.2-33
haskell-base16-bytestring 0.1.1.7-1
haskell-base64-bytestring 1.1.0.0-6
haskell-basement 0.0.11-6
haskell-bifunctors 5.5.7-18
haskell-bitarray 0.0.1.1-16
haskell-blaze-builder 0.4.1.0-12
haskell-blaze-html 0.9.1.2-29
haskell-blaze-markup 0.8.2.5-7
haskell-byteable 0.1.1-18
haskell-case-insensitive 1.2.1.0-12
haskell-cereal 0.5.8.1-5
haskell-cmark 0.5.6-9
haskell-cmark-gfm 0.2.1-25
haskell-cmdargs 0.10.20-12
haskell-colour 2.3.5-47
haskell-comonad 5.0.6-26
haskell-conduit 1.3.2-22
haskell-connection 0.3.1-37
haskell-cookie 0.4.5-5
haskell-cryptonite 0.27-3
haskell-data-default 0.7.1.1-59
haskell-data-default-class 0.1.2.0-17
haskell-data-default-instances-containers 0.0.1-29
haskell-data-default-instances-dlist 0.0.1-72
haskell-data-default-instances-old-locale 0.0.1-29
haskell-digest 0.0.1.2-18
haskell-distributive 0.6.2-7
haskell-dlist 0.8.0.8-7
haskell-doclayout 0.3-18
haskell-doctemplates 0.8.2-19
haskell-emojis 0.1-20
haskell-erf 2.0.0.0-17
haskell-errors 2.3.0-54
haskell-extensible-exceptions 0.1.1.4-29
haskell-filemanip 0.3.6.3-26
haskell-foundation 0.0.25-28
haskell-glob 0.10.0-45
haskell-haddock-library 1.9.0-7
haskell-hashable 1.3.0.0-8
haskell-hourglass 0.2.12-55
haskell-hslua 1.1.2-2
haskell-hslua-module-system 0.2.1-46
haskell-hslua-module-text 0.2.1-55
haskell-hsyaml 0.2.1.0-25
haskell-http 4000.3.14-225
haskell-http-client 0.7.1-13
haskell-http-client-tls 0.3.5.3-259
haskell-http-types 0.12.3-62
haskell-hxt 9.3.1.18-101
haskell-hxt-charproperties 9.4.0.0-5
haskell-hxt-regex-xmlschema 9.2.0.3-21
haskell-hxt-unicode 9.0.2.4-17
haskell-integer-logarithms 1.0.3-6
haskell-ipynb 0.1.0.1-51
haskell-jira-wiki-markup 1.2.0-3
haskell-juicypixels 3.3.5-9
haskell-lexer 1.1-4
haskell-libyaml 0.1.2-39
haskell-lifted-base 0.2.3.12-72
haskell-math-functions 0.3.4.0-5
haskell-memory 0.15.0-22
haskell-mime-types 0.1.0.9-7
haskell-mmorph 1.1.3-6
haskell-monad-control 1.0.2.3-72
haskell-mono-traversable 1.0.15.1-40
haskell-mwc-random 0.14.0.0-57
haskell-network 3.1.1.1-23
haskell-network-uri 2.6.3.0-116
haskell-old-locale 1.0.0.7-23
haskell-old-time 1.1.0.3-23
haskell-pandoc-types 1.20-47
haskell-pem 0.2.4-87
haskell-pretty-show 1.10-4
haskell-primitive 0.7.1.0-1
haskell-quickcheck 2.14-12
haskell-random 1.1-21
haskell-regex-base 0.94.0.0-4
haskell-regex-pcre 0.95.0.0-4
haskell-resourcet 1.2.4.2-2
haskell-safe 0.3.19-1
haskell-scientific 0.3.6.2-25
haskell-semigroups 0.19.1-5
haskell-sha 1.6.4.4-12
haskell-skylighting 0.8.5-8
haskell-skylighting-core 0.8.5-8
haskell-socks 0.6.1-30
haskell-split 0.2.3.4-34
haskell-splitmix 0.1-2
haskell-streaming-commons 0.2.1.2-24
haskell-syb 0.7.1-5
haskell-tagged 0.8.6-10
haskell-tagsoup 0.14.8-35
haskell-temporary 1.3-71
haskell-texmath 0.12.0.2-40
haskell-text-conversions 0.3.0-30
haskell-tf-random 0.5-30
haskell-th-abstraction 0.3.2.0-4
haskell-these 1.1-4
haskell-time-compat 1.9.3-9
haskell-time-locale-compat 0.1.1.5-10
haskell-tls 1.5.4-17
haskell-transformers-base 0.4.5.2-70
haskell-transformers-compat 0.6.5-5
haskell-unicode-transforms 0.3.6-5
haskell-unix-compat 0.5.2-5
haskell-unliftio-core 0.2.0.1-2
haskell-unordered-containers 0.2.11.0-4
haskell-utf8-string 1.0.1.1-17
haskell-uuid-types 1.0.3-31
haskell-vector 0.12.1.2-25
haskell-vector-algorithms 0.8.0.3-23
haskell-vector-th-unbox 0.2.1.7-24
haskell-x509 1.7.5-64
haskell-x509-store 1.6.7-63
haskell-x509-system 1.6.6-131
haskell-x509-validation 1.6.11-63
haskell-xml 1.3.14-23
haskell-yaml 0.11.4.0-23
haskell-zip-archive 0.4.1-38
haskell-zlib 0.6.2.1-5
hdf5 1.12.0-2
heroku-toolbelt 3.43.9-1
hicolor-icon-theme 0.17-2
hidapi 0.9.0-2
hspell 1.4-3
http-parser 2.9.4-1
hunspell 1.7.0-3
hunspell-en_US 2019.10.06-1
hwids 20200306-1
hwloc 2.2.0-1
hyphen 2.8.8-3
iana-etc 20200720-1
icu 67.1-1
idnkit 1.0-4
igraph 0.8.2-2
ijs 0.35-3
imagemagick 7.0.10.24-1
imake 1.0.8-2
iml 1.0.5-3
imlib2 1.6.1-2
inetutils 1.9.4-8
iniparser 4.1-2
inkscape 1.0-5
intel-gmmlib 20.2.2-1
intel-media-driver 20.2.0-1
intel-media-sdk 20.2.0-1
intel-ucode 20200616-1
iproute2 5.7.0-1
iptables 1:1.8.5-2
iputils 20190709-2
ipython 7.16.1-1
ipython2 5.9.0-1
iso-codes 4.5.0-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.16-2
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.18-1
jdk-openjdk 14.0.2.u12-1
jdk10-openjdk 10.0.2.u13-2
jdk11-openjdk 11.0.8.u10-1
jdk8-openjdk 8.u262-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
jpegoptim 1.4.6-2
jq 1.6-3
jre-openjdk 14.0.2.u12-1
jre-openjdk-headless 14.0.2.u12-1
jre10-openjdk 10.0.2.u13-2
jre10-openjdk-headless 10.0.2.u13-2
jre11-openjdk 11.0.8.u10-1
jre11-openjdk-headless 11.0.8.u10-1
jre8-openjdk 8.u262-1
jre8-openjdk-headless 8.u262-1
js 24.2.0-4
js52 52.9.0-4
js60 60.9.0-2
jsmol 14.31.2-1
json-c 0.14-4
json-glib 1.4.4-2
jsoncpp 1.9.3-1
jupyter 4.6.3-1
jupyter-nbconvert 5.6.1-1
jupyter-nbformat 5.0.6-1
jupyter-notebook 6.0.3-1
jupyter-widgetsnbextension 1:3.5.1-1
jupyter_console 6.1.0-1
kaccounts-integration 20.04.3-1
kactivities 5.72.0-1
kactivities-stats 5.72.0-1
kactivitymanagerd 5.19.3-1
kajongg 20.04.3-1
kapman 20.04.3-1
karchive 5.72.0-1
kate 20.04.3-1
katomic 20.04.3-1
kauth 5.72.0-1
kbd 2.2.0-5
kblackbox 20.04.3-1
kblocks 20.04.3-1
kbookmarks 5.72.0-1
kbounce 20.04.3-1
kbreakout 20.04.3-1
kcmutils 5.72.0-1
kcodecs 5.72.0-1
kcompletion 5.72.0-1
kconfig 5.72.0-1
kconfigwidgets 5.72.0-1
kcontacts 1:5.72.0-1
kcoreaddons 5.72.0-1
kcrash 5.72.0-1
kdbusaddons 5.72.0-1
kde-cli-tools 5.19.3-1
kde-gtk-config 5.19.3-1
kdeclarative 5.72.0-1
kdecoration 5.19.3-1
kded 5.72.0-1
kdelibs 4.14.38-4
kdelibs4support 5.72.0-1
kdenlive 20.04.3-1
kdeplasma-addons 5.19.3-1
kdesu 5.72.0-1
kdialog 20.04.3-1
kdiamond 20.04.3-1
kdnssd 5.72.0-1
kdoctools 5.72.0-1
kdsoap 1.9.0-1
kdsoap-ws-discovery-client git20200316-2
keeweb 1.15.5-1
kemoticons 5.72.0-1
keybase 5.5.1-1
keyutils 1.6.3-1
kfilemetadata 5.72.0-1
kfourinline 20.04.3-1
kgamma5 5.19.3-1
kglobalaccel 5.72.0-1
kgoldrunner 20.04.3-1
kgpg 20.04.3-1
kguiaddons 5.72.0-1
kholidays 1:5.72.0-1
khotkeys 5.19.3-1
khtml 5.72.0-1
ki18n 5.72.0-1
kiconthemes 5.72.0-1
kidletime 5.72.0-1
kigo 20.04.3-1
killbots 20.04.3-1
kinfocenter 5.19.3-1
kinit 5.72.0-1
kio 5.72.0-1
kio-extras 20.04.3-1
kirigami2 5.72.0-1
kiriki 20.04.3-1
kitemmodels 5.72.0-1
kitemviews 5.72.0-1
kjobwidgets 5.72.0-1
kjs 5.72.0-1
kjsembed 5.72.0-1
kjumpingcube 20.04.3-1
klickety 20.04.3-1
klines 20.04.3-1
kmahjongg 20.04.3-1
kmenuedit 5.19.3-1
kmime 20.04.3-1
kmines 20.04.3-1
kmod 27-1
knavalbattle 20.04.3-1
knetattach 5.19.3-1
knetwalk 20.04.3-1
knewstuff 5.72.0-1
knights 20.04.3-1
knotifications 5.72.0-1
knotifyconfig 5.72.0-1
kolf 20.04.3-1
kollision 20.04.3-1
konquest 20.04.3-1
konsole 20.04.3-1
kpackage 5.72.0-1
kparts 5.72.0-1
kpatience 20.04.3-1
kpeople 5.72.0-1
kplotting 5.72.0-1
kpty 5.72.0-1
kquickcharts 5.72.0-1
krb5 1.18.2-1
kreversi 20.04.3-1
krita 4.3.0-1
kronometer 2.2.3-2
kross 5.72.0-1
krunner 5.72.0-2
kscreen 5.19.3-1
kscreenlocker 5.19.3-1
kservice 5.72.0-1
kshisen 20.04.3-1
ksirk 20.04.3-1
ksnakeduel 20.04.3-1
kspaceduel 20.04.3-1
ksquares 20.04.3-1
ksshaskpass 5.19.3-1
ksudoku 20.04.3-1
ksysguard 5.19.3-1
ktexteditor 5.72.0-1
ktextwidgets 5.72.0-1
ktorrent 5.2.0-1
ktuberling 20.04.3-1
kubrick 20.04.3-1
kunitconversion 5.72.0-1
kuserfeedback 1.0.0-1
kwallet 5.72.0-1
kwallet-pam 5.19.3-1
kwayland 5.72.0-1
kwayland-integration 5.19.3-1
kwayland-server 5.19.3-1
kwidgetsaddons 5.72.0-1
kwin 5.19.3-1
kwindowsystem 5.72.0-1
kwrited 5.19.3-1
kxmlgui 5.72.0-1
kxmlrpcclient 5.72.0-1
l-smash 2.14.5-2
ladspa 1.15-2
lame 3.100-3
lapack 3.9.0-3
lcalc 1.23-20
lcms 1.19-7
lcms2 2.11-2
lcov 1.13-2
ldb 1:2.1.3-1
ldns 1.7.1-2
lensfun 0.3.95-2
less 551-3
lib32-acl 2.2.53-1
lib32-alsa-lib 1.2.3.2-1
lib32-alsa-plugins 1.2.2-1
lib32-at-spi2-atk 2.34.2-1
lib32-at-spi2-core 2.36.0-1
lib32-atk 2.36.0-1
lib32-attr 2.4.48-1
lib32-brotli 1.0.7-1
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.2+25+gaee96d175-1
lib32-colord 1.4.4-1
lib32-cracklib 2.9.7-1
lib32-dbus 1.12.20-1
lib32-dconf 0.36.0-1
lib32-e2fsprogs 1.45.6-1
lib32-expat 2.2.9-1
lib32-faudio 20.07-1
lib32-flac 1.3.3-1
lib32-fontconfig 2:2.13.91+48+gfcb0420-2
lib32-freetype2 2.10.2-1
lib32-fribidi 1.0.10-1
lib32-gcc-libs 10.1.0-2
